Date;Chinese Yuan;Russian Ruble;U.K. Pound Sterling;Euro;;Y n-2;R n-2;UK n-2;EUR n-2;Y n-1;R n-1;UK n-1;EUR n-1;;EUR n;;DYn-1;DRn-1;DUKn-1;DEURn-1;DEURn
23/03/2018;6,3276;57,1072;1,412;1,2346;;6,3276;57,1072;1,412;1,2346;6,2965;57,0039;1,42265;1,2411;;1,2376;;-0,0311;-0,1033;0,01065;0,0065;-0,0035
26/03/2018;6,2965;57,0039;1,42265;1,2411;;6,2965;57,0039;1,42265;1,2411;6,2547;57,1747;1,4111;1,2376;;1,2398;;-0,0418;0,1708;-0,01155;-0,0035;0,0022
27/03/2018;6,2547;57,1747;1,4111;1,2376;;6,2547;57,1747;1,4111;1,2376;6,2815;57,5598;1,4143;1,2398;;1,2321;;0,0268;0,3851;0,0032;0,0022;-0,0077
28/03/2018;6,2815;57,5598;1,4143;1,2398;;6,2815;57,5598;1,4143;1,2398;6,2931;57,7626;1,40615;1,2321;;1,2308;;0,0116;0,2028;-0,00815;-0,0077;-0,0013
29/03/2018;6,2931;57,7626;1,40615;1,2321;;;;;;;;;;;;;;;;;
03/04/2018;6,287;57,5375;1,40265;1,2308;;;;;;;;;;;;;;;;;
04/04/2018;6,3025;57,7646;1,40385;1,2276;;;;;;;;;;;;;;;;;
09/04/2018;6,3091;58,5714;1,41035;1,2304;;Y n-2;R n-2;UK n-2;EUR n-2;Y n-1;R n-1;UK n-1;EUR n-1;;EUR n;;;;;;
10/04/2018;6,2949;62,3699;1,4159;1,2361;;6,3025;57,7646;1,40385;1,2276;6,3091;58,5714;1,41035;1,2304;;1,2361;;0,0066;0,8068;0,0065;;0,0057
11/04/2018;6,2831;64,0626;1,4193;1,2384;;6,3091;58,5714;1,41035;1,2304;6,2949;62,3699;1,4159;1,2361;;1,2384;;-0,0142;3,7985;0,00555;;0,0023
12/04/2018;6,2809;62,0659;1,41865;1,2323;;6,2949;62,3699;1,4159;1,2361;6,2831;64,0626;1,4193;1,2384;;1,2323;;-0,0118;1,6927;0,0034;;-0,0061
13/04/2018;6,2874;61,4311;1,4279;1,2317;;6,2831;64,0626;1,4193;1,2384;6,2809;62,0659;1,41865;1,2323;;1,2317;;-0,0022;-1,9967;-0,00065;;-0,0006
16/04/2018;6,2821;62,2794;1,42995;1,237;;6,2809;62,0659;1,41865;1,2323;6,2874;61,4311;1,4279;1,2317;;1,237;;0,0065;-0,6348;0,00925;;0,0053
17/04/2018;6,2785;61,1454;1,4334;1,2357;;6,2874;61,4311;1,4279;1,2317;6,2821;62,2794;1,42995;1,237;;1,2357;;-0,0053;0,8483;0,00205;;-0,0013
18/04/2018;6,2845;61,5539;1,42075;1,2388;;6,2821;62,2794;1,42995;1,237;6,2785;61,1454;1,4334;1,2357;;1,2388;;-0,0036;-1,134;0,00345;;0,0031
19/04/2018;6,2769;60,8583;1,4218;1,2382;;6,2785;61,1454;1,4334;1,2357;6,2845;61,5539;1,42075;1,2388;;1,2382;;0,006;0,4085;-0,01265;;-0,0006
20/04/2018;6,2879;61,3222;1,4074;1,2309;;6,2845;61,5539;1,42075;1,2388;6,2769;60,8583;1,4218;1,2382;;1,2309;;-0,0076;-0,6956;0,00105;;-0,0073
23/04/2018;6,305;61,7655;1,3953;1,2238;;6,2769;60,8583;1,4218;1,2382;6,2879;61,3222;1,4074;1,2309;;1,2238;;0,011;0,4639;-0,0144;;-0,0071
24/04/2018;6,3146;61,6644;1,3941;1,2213;;6,2879;61,3222;1,4074;1,2309;6,305;61,7655;1,3953;1,2238;;1,2213;;0,0171;0,4433;-0,0121;;-0,0025
25/04/2018;6,3224;61,7494;1,39525;1,2185;;6,305;61,7655;1,3953;1,2238;6,3146;61,6644;1,3941;1,2213;;1,2185;;0,0096;-0,1011;-0,0012;;-0,0028
26/04/2018;6,3352;62,6027;1,39655;1,2168;;6,3146;61,6644;1,3941;1,2213;6,3224;61,7494;1,39525;1,2185;;1,2168;;0,0078;0,085;0,00115;;-0,0017
27/04/2018;6,3407;62,726;1,37685;1,207;;6,3224;61,7494;1,39525;1,2185;6,3352;62,6027;1,39655;1,2168;;1,207;;0,0128;0,8533;0,0013;;-0,0098
30/04/2018;6,3407;61,9997;1,3725;1,2079;;6,3352;62,6027;1,39655;1,2168;6,3407;62,726;1,37685;1,207;;1,2079;;0,0055;0,1233;-0,0197;;0,0009
